hubspot_id,state,office_level,office_type,candidate_office,election_date,viability_score,general_election_result,general_votes_received,total_general_votes_cast
23324153213,Michigan,LOCAL,School Board,Hazel Park School Board,2024-11-05,3.8700000000,Won General,3839.0000000000,18882.0000000000
39224838418,Ohio,LOCAL,School Board,Akron City School Board,2025-11-04,1.3300000000,Lost General,7971.0000000000,66403.0000000000
40977385568,Ohio,CITY,City Council,Cincinnati City Council,2025-11-04,null,Not on Ballot,null,null
31881853046,Ohio,CITY,City Council,Berea City Council - Ward 3,2025-11-04,0.4600000000,Lost General,56.0000000000,529.0000000000
35308700559,New Jersey,STATE,null,New Jersey General Assembly - District 34,2025-11-04,0.4800000000,Not on Ballot,null,null
22843619878,North Carolina,LOCAL,School Board,Hoke County School Board,2024-11-05,2.3300000000,Lost General,400.0000000000,34937.0000000000
29262622090,Oklahoma,CITY,Mayor,Bethany City Mayor,2025-04-01,1.3600000000,Lost General,871.0000000000,null
33028167466,Idaho,LOCAL,null,Sewer Board,2025-05-20,0.9300000000,Lost General,672.0000000000,1542.0000000000
37599995668,Ohio,CITY,City Council,Grove city council ward 5,2025-11-04,0.8900000000,Not on Ballot,null,null
42366293142,Connecticut,CITY,City Council,Norwalk City Council - At Large,2025-11-04,1.6000000000,Lost General,null,null
35396464143,Massachusetts,CITY,City Council,Everett City Council - Ward 3,2025-11-04,1.7700000000,Not on Ballot,null,null
39784083096,Ohio,CITY,City Council,Twinsburg City Council - Ward 4,2025-11-04,0.8200000000,Won General,null,null
26761006082,Minnesota,CITY,Utilities Commissioner,Minneapolis City Park and Recreation Board - District 4,2025-11-04,4.9700000000,Not on Ballot,null,null
30692913520,Illinois,CITY,Town Council,Tolono Village Council,2025-04-01,3.9600000000,Won General,365.0000000000,1633.0000000000
39074746521,Maine,CITY,City Council,Biddeford City Council - Ward 4,2025-11-04,null,Lost General,null,null
23127798596,Minnesota,LOCAL,Town Council,Freeborn County: Carlston Township Supervisor - Seat C,2024-11-05,2.7100000000,Won General,89.0000000000,177.0000000000
39593805113,Idaho,null,Town Council,Councilor At Large,2025-11-04,null,Lost General,null,149.0000000000
38629792780,Massachusetts,CITY,City Council,Brockton City Council - Ward 3,2025-11-04,3.1500000000,Lost General,null,null
31862601360,Maryland,CITY,City Council,Brentwood Town Mayor,2025-05-05,1.3700000000,Won General,null,530.0000000000
31956113495,Ohio,CITY,Mayor,Cincinnati City Mayor,2025-11-04,0.4100000000,Lost General,14578.0000000000,67275.0000000000
37401985560,Montana,CITY,Mayor,Eureka Town Mayor,2025-11-04,1.2100000000,Won General,null,null
33262542367,South Dakota,LOCAL,School Board,Meade School Board,2025-06-03,0.4700000000,Lost General,258.0000000000,2030.0000000000
23877236030,Michigan,COUNTY,Attorney,Lake County Prosecuting Attorney,2024-11-05,1.9000000000,Won General,2237.0000000000,4301.0000000000
30910173458,Washington,LOCAL,School Board,Cascade District 228 School Board - District 3,2025-11-04,2.6700000000,Won General,null,null
39047506540,Washington,CITY,null,Tacoma City Council - District 2,2025-11-04,null,Not on Ballot,null,null
23004062777,South Carolina,LOCAL,School Board,Jasper County School Board - District 3,2024-11-05,3.5800000000,Won General,678.0000000000,678.0000000000
22312120394,Minnesota,COUNTY,County Supervisor,Sibley County Commission - District 3,2024-11-05,1.6100000000,Lost General,662.0000000000,1422.0000000000
20754612788,Nevada,Local,City Council,Reno City Council - Ward 1,2024-11-05,0.5600000000,Lost General,198.0000000000,3536.0000000000
40715402822,Connecticut,CITY,null,Cheshire Town Council - District 2,2025-11-04,null,Won General,null,null
23936146288,Texas,LOCAL,School Board,Del Mar College Board of Regents - District 1,2024-11-05,5.0000000000,Won General,null,null
23512767748,Louisiana,CITY,Mayor,Rosedale Village Mayor,2024-12-07,1.2300000000,Runoff,null,null
22823279784,Florida,LOCAL,School Board,Gadsden County School Board - District 5,2024-11-05,2.3500000000,Won General,1955.0000000000,3854.0000000000
23658703448,California,LOCAL,Utilities Commissioner,Rainbow Municipal Water District Board - Division 1,2024-11-05,2.9700000000,Won General,null,2029.0000000000
22124388468,Minnesota,County,Utilities Commissioner,Jackson County Soil and Water Commission,2024-11-05,5.0000000000,Won General,4798.0000000000,4826.0000000000
30092325769,Illinois,CITY,City Council,Le Roy City Council - Ward 1,2025-04-01,1.7400000000,Won General,62.0000000000,108.0000000000
