hubspot_id,state,office_level,office_type,candidate_office,election_date,viability_score,general_election_result,general_votes_received,total_general_votes_cast
31186464819,Colorado,CITY,City Council,Aurora City Council - Ward 1,2025-11-04,0.6000000000,Not on Ballot,null,null
39001626484,Minnesota,LOCAL,School Board,St. Anthony-New Brighton School Board,2025-11-04,3.7200000000,Lost General,915.0000000000,2067.0000000000
30929814967,Pennsylvania,LOCAL,School Board,Carbondale Area School Board - Region 1,2025-11-04,0.8800000000,Not on Ballot,null,null
33016419105,Massachusetts,CITY,Town Council,Falmouth Town Meeting Board - Precinct 6,2025-05-20,1.6100000000,Lost General,175.0000000000,4300.0000000000
41389496176,Minnesota,CITY,Other,Minneapolis City Park and Recreation Board - District 4,2025-11-04,2.3200000000,Lost General,1650.0000000000,19607.0000000000
29910475282,Massachusetts,CITY,City Council,Southbridge Town City Council,2025-06-10,2.1100000000,Won General,539.0000000000,2096.0000000000
23771154343,California,LOCAL,School Board,Kings River Union Elementary School Board - Area 5,2024-11-05,5.0000000000,Won General,null,null
40061555285,Idaho,Local,Other, Fire Commissioner ,2025-11-04,1.2500000000,Won General,null,null
31845859445,Texas,CITY,City Council,Waller City Council,2025-05-03,4.1200000000,Won General,96.0000000000,392.0000000000
33791726384,Michigan,CITY,Mayor,Grosse Pointe Farms City Council,2025-11-04,2.4900000000,Lost General,1080.0000000000,3568.0000000000
19663081628,Illinois,LOCAL,Clerk/Treasurer,Cook County: Elk Grove Township Assessor,2025-02-25,1.8200000000,Not on Ballot,null,null
43456906256,Mississippi,COUNTY,null,Hinds County Coroner,2025-11-04,null,Runoff,null,null
22332476842,Indiana,LOCAL,School Board,Lebanon School Board - At Large,2024-11-05,3.6000000000,Won General,8581.0000000000,8581.0000000000
21619691907,Minnesota,CITY,City Council,Belle Plaine City Council,2024-11-05,2.5700000000,Won General,2316.0000000000,6303.0000000000
40939047206,Iowa,LOCAL,School Board,Murray Community School Board,2025-11-04,3.8700000000,Won General,null,null
36564127838,Ohio,TOWNSHIP,null,Medina County: Litchfield Township Trustee,2025-11-04,1.5500000000,Won General,null,null
21578919026,Indiana,Local,School Board,Salem School Board ,2024-11-05,null,Won General,3063.0000000000,14309.0000000000
36953082473,Alabama,CITY,Mayor,Bridgeport City Mayor,2025-08-26,1.4800000000,Lost General,null,null
39485075576,Massachusetts,LOCAL,School Board,Haverhill School Committee - At Large,2025-11-04,null,Lost General,null,null
40248744282,South Carolina,CITY,Town Council,Fairfax Town Council,2025-11-04,2.2100000000,Won General,178.0000000000,636.0000000000
21833957269,Maryland,LOCAL,School Board,Frederick County Public School Board,2024-11-05,1.0500000000,Lost General,11502.0000000000,119194.0000000000
38128367394,Virginia,LOCAL,School Board,Patrick County School Board - Smith River,2025-11-04,3.7100000000,Won General,null,null
41663116826,Ohio,CITY,City Council,Aurora City Council - At Large,2025-11-04,null,Won General,null,null
32804166530,Wisconsin,LOCAL,School Board,Manitowoc School District Board of Education At-large,2025-05-20,1.5000000000,Won General,613.0000000000,625.0000000000
36067171439,Alabama,CITY,City Council,Dodge City Council - Place 2,2025-08-26,1.9300000000,Won General,null,null
34977954652,Georgia,CITY,City Council,"Peachtree Corners City Council - Post 4, At Large",2025-11-04,3.2500000000,Won General,null,null
30309562129,Wisconsin,CITY,City Council,Beloit City Council,2025-04-01,3.7100000000,Won General,3659.0000000000,17120.0000000000
23522314669,Minnesota,CITY,City Council,Badger City Council,2024-11-05,2.4100000000,Won General,145.0000000000,352.0000000000
38593361005,Ohio,TOWNSHIP,Town Council,Muskingum County: Jackson Township Trustee,2025-11-04,3.0700000000,Won General,null,null
40057841766,Utah,LOCAL,Other,Cottonwood Heights Parks and Recreation Board - District 2,2025-11-04,1.3100000000,Won General,null,null
40092780377,Massachusetts,CITY,City Council,Westfield City Council - At Large,2025-11-04,3.5800000000,Won General,null,null
31764303524,null,Local,City Council,City Council,2025-04-08,null,Won General,null,null
22780134516,California,LOCAL,School Board,Saugus Union School Board - Area 3,2024-11-05,2.5200000000,Lost General,4451.0000000000,10604.0000000000
39100887663,Massachusetts,CITY,City Council,Lynn City Council - At Large,2025-11-04,null,Won General,null,null
20177900310,Texas,CITY,City Council,Milford City Council,2024-05-04,3.1900000000,Won General,72.0000000000,398.0000000000
22164653831,California,COUNTY,null,Paul Davis,2025-07-20,null,Cannot Determine,null,null
39829317497,Georgia,CITY,Mayor,Nelson City Mayor,2025-11-04,2.9900000000,Won General,null,null
32571376157,Oregon,LOCAL,School Board,Springfield 19 School Board - Position 2,2025-05-20,3.5600000000,Won General,null,null
23747606589,Wyoming,LOCAL,School Board,Fremont County 1 School Board,2024-11-05,1.3700000000,Lost General,76.0000000000,1148.0000000000
36660120323,New York,CITY,null,Bronx Borough President,2025-11-04,0.9800000000,Not on Ballot,null,null
22394328979,Pennsylvania,LOCAL,School Board,Bethlehem Area School Board - At Large,2025-11-04,0.6500000000,Not on Ballot,null,null
22824686716,Oregon,CITY,Mayor,Central Point City Mayor,2024-11-05,3.3200000000,Lost General,2003.0000000000,8035.0000000000
23093459240,South Carolina,LOCAL,School Board,Anderson 1 County School Board - District 3,2024-11-05,2.2600000000,Won General,9211.0000000000,17923.0000000000
27995352335,Illinois,CITY,Town Council,Woodridge Village Board,2025-04-01,2.8300000000,Won General,475.0000000000,5360.0000000000
42072308573,Iowa,CITY,City Council,Lake City Council,2025-11-04,2.6100000000,Lost General,null,null
23303704697,Oregon,CITY,City Council,Dallas City Council,2024-11-05,2.4300000000,Won General,4014.0000000000,26443.0000000000
19556732592,Ohio,COUNTY,Sheriff,Pike County Sheriff,2024-11-05,0.4900000000,Lost General,4910.0000000000,11209.0000000000
33793767476,New Jersey,LOCAL,School Board,Ocean City School Board,2025-11-04,2.7800000000,Not on Ballot,null,null
22741406484,California,CITY,City Council,Bakersfield City Council - Ward 5,2024-11-05,1.6600000000,Won General,6197.0000000000,14561.0000000000
31851752084,Texas,City,City Council,Dallas City Council,2025-05-03,0.9400000000,Lost General,749.0000000000,2923.0000000000
30303495450,Wisconsin,LOCAL,School Board,Mukwonago Area School Board - At Large,2025-04-01,1.8500000000,Lost General,4258.0000000000,20701.0000000000
43613523007,Massachusetts,CITY,null,Attleboro City Council - Ward 3,2025-11-04,null,Not on Ballot,null,null
23778986378,Minnesota,CITY,City Council,Ironton City Council,2024-11-05,5.0000000000,Won General,170.0000000000,354.0000000000
22750749078,New Jersey,LOCAL,School Board,Eagleswood Township School Board,2024-11-05,4.1200000000,Won General,409.0000000000,632.0000000000
39275145380,Minnesota,LOCAL,School Board,St. Louis Park School Board,2025-11-04,2.6800000000,Won General,null,null
31509330063,Wisconsin,LOCAL,Town Council,Winnebago County: Utica Town Board - Seat 1,2025-04-01,3.8200000000,Lost General,null,null
37051635507,Georgia,CITY,null,"East Point City Council - Ward B, At Large",2025-11-04,1.8700000000,Not on Ballot,null,null
21600227924,California,LOCAL,Mayor,Mayor,2024-11-05,null,Lost General,null,20582.0000000000
31837245792,Texas,CITY,Mayor,Mathis City Mayor,2025-05-03,1.3800000000,Lost General,null,null
32722665577,Idaho,LOCAL,Other,Hayden Lake Sewer Director,2025-05-20,3.5600000000,Won General,null,null
30456681888,Illinois,CITY,Clerk/Treasurer,Steger Village Clerk,2025-04-01,2.5600000000,Won General,541.0000000000,1267.0000000000
31390587298,Wisconsin,CITY,Mayor,Williams Bay Village President,2025-04-01,2.4400000000,Won General,783.0000000000,1527.0000000000
42613495669,Florida,CITY,City Council,Homestead City Council - Seat 1,2025-11-04,3.2100000000,Won General,1828.0000000000,3171.0000000000
30249878019,Mississippi,CITY,City Council,Pass Christian City Council - Ward 1,2025-06-03,2.9600000000,Lost General,20.0000000000,220.0000000000
37677816869,North Carolina,CITY,Town Council,Plymouth Town Council - Ward 1,2025-11-04,2.5300000000,Won General,null,null
36250391694,Kansas,CITY,City Council,Mulberry City Council,2025-11-04,1.3000000000,Won General,null,null
23648420986,Iowa,LOCAL,Utilities Commissioner,Monroe County Soil and Water Conservation District Commission,2024-11-05,5.0000000000,Won General,2326.0000000000,6374.0000000000
31605385019,Wisconsin,LOCAL,School Board,Black River Falls School Board,2025-04-01,2.6100000000,Lost General,1283.0000000000,5159.0000000000
23075349137,Michigan,LOCAL,School Board,Waterford School Board,2024-11-05,1.9300000000,Lost General,4700.0000000000,48457.0000000000
34668476936,Oregon,LOCAL,School Board,Rainier 13 School Board - Zone 1,2025-05-20,2.0200000000,Won General,null,null
36867779757,North Carolina,CITY,Town Council,Edenton Town Council - Ward 3,2025-11-04,3.6100000000,Won General,69.0000000000,123.0000000000
41062173086,South Carolina,CITY,null,Lamar Town Council,2025-11-04,null,Not on Ballot,null,null
36263346227,Kansas,LOCAL,School Board,Ingalls USD 477 School Board,2025-11-04,1.5300000000,Lost General,null,null
42613918553,Ohio,CITY,City Council,East Cleveland City Council - At Large,2025-11-04,null,Lost General,null,null
36133051941,Kansas,Local,City Council, City Council-3 Positions,2025-08-05,1.3000000000,Won General,254.0000000000,1459.0000000000
39613594743,Alabama,Local,Mayor,Perdido Beach City Mayor,2025-09-23,1.4800000000,Won General,null,null
23159930194,Michigan,CITY,Mayor,Frankenmuth City Mayor,2024-11-05,1.6000000000,Lost General,152.0000000000,3053.0000000000
23542468668,Michigan,LOCAL,School Board,Almont Community School Board,2024-11-05,2.5100000000,Won General,1624.0000000000,2947.0000000000
36796122686,Virginia,CITY,Town Council,Vienna Town Council,2025-11-04,4.1600000000,Won General,4044.0000000000,29298.0000000000
36254845796,Utah,CITY,City Council,Lehi City Council,2025-11-04,1.4400000000,Not on Ballot,null,null
31709314442,Arizona,FEDERAL,null,U.S. House of Representatives - Arizona 7th Congressional District,2025-09-23,null,Not on Ballot,null,null
31290239912,Illinois,CITY,Mayor,Dixmoor Village President,2025-04-01,1.6100000000,Lost General,134.0000000000,527.0000000000
39131714646,Ohio,CITY,City Council,Eaton City Council,2025-11-04,1.1300000000,Lost General,null,null
31862472342,null,LOCAL,City Council,La Porte City Council - District 5,2025-05-03,1.7700000000,Lost General,674.0000000000,8995.0000000000
36550292003,Kansas,CITY,City Council,Leawood City Council - Ward 3,2025-11-04,2.3500000000,Won General,null,null
23726424907,Tennessee,CITY,City Council,Elizabethton City Council,2024-11-05,2.3500000000,Lost General,2128.0000000000,10368.0000000000
30310586020,null,CITY,Other,Town Board,2025-03-04,5.0000000000,Lost General,172.0000000000,6892.0000000000
22011594056,California,CITY,null,Benicia City Council,2024-11-05,2.5600000000,Not on Ballot,null,null
21835729212,Virginia,LOCAL,School Board,Norfolk School Board - Ward 5,2024-11-05,4.9800000000,Not on Ballot,null,null
37984843644,North Carolina,CITY,Town Council,Apex Town Council,2025-11-04,2.5300000000,Lost General,null,null
23670854013,California,LOCAL,Utilities Commissioner,Imperial Irrigation Board - Division 2,2024-11-05,3.6600000000,Won General,1524.0000000000,2993.0000000000
37267795879,Alabama,LOCAL,School Board,Birmingham City School Board - District 9,2025-08-26,1.9700000000,Lost General,null,null
39275313335,Connecticut,CITY,Mayor,Windham Town Mayor,2025-11-04,null,Won General,null,null
36734333720,Kansas,CITY,City Council,Fort Scott City Commission,2025-11-04,2.8400000000,Won General,null,null
31386656429,Wisconsin,LOCAL,School Board,"Prentice School Board - Lynne Town, Somo Town",2025-04-01,5.0000000000,Won General,null,null
39369146547,Colorado,CITY,City Council,Fort Collins City Council - District 5,2025-11-04,1.2000000000,Lost General,null,null
39498350603,Ohio,TOWNSHIP,Town Council,Portage County: Rootstown Township Trustee,2025-11-04,3.0700000000,Won General,null,null
31524088639,Wisconsin,Local,Town Council,Town Chair,2025-04-01,5.0000000000,Won General,null,null
40106718780,Massachusetts,CITY,City Council,Marlborough City Council - At Large,2025-11-04,1.5700000000,Won General,null,null
21944135350,Florida,CITY,City Council,Port St. Lucie City Council - District 2,2024-11-05,4.9900000000,Won General,null,null
19208090924,Nevada,STATE,State House,Nevada State Assembly - District 3,2024-11-05,0.1900000000,Not on Ballot,null,26371.0000000000
22462295858,California,LOCAL,School Board,Laguna Beach Unified School Board,2024-11-05,1.3000000000,Won General,5243.0000000000,22406.0000000000
29131328830,Illinois,LOCAL,School Board,Community Consolidated 15 School Board,2025-04-01,3.5200000000,Lost General,5626.0000000000,33386.0000000000
31375605870,Illinois,LOCAL,Other,Orland Fire Protection District Board,2025-04-01,3.3000000000,Won General,5049.0000000000,27108.0000000000
30759396699,Mississippi,CITY,Mayor,Canton City Mayor,2025-06-03,0.5400000000,Lost General,224.0000000000,1944.0000000000
35454278215,Washington,LOCAL,Other,Alpine Water District Board - Position 3,2025-11-04,1.2700000000,Won General,null,null
25032151648,Minnesota,CITY,City Council,Lonsdale City Council,2024-11-05,2.1100000000,Won General,1280.0000000000,4022.0000000000
30784052817,Georgia,CITY,Mayor,Tallapoosa City Mayor,2025-11-04,1.2700000000,Lost General,183.0000000000,345.0000000000
23060377122,Minnesota,CITY,Mayor,Andover City Mayor,2024-11-05,1.6800000000,Won General,10058.0000000000,17560.0000000000
20893879079,South Dakota,COUNTY,Attorney,Deuel County State's Attorney,2024-11-05,4.9900000000,Won General,null,null
36260007732,Kansas,CITY,City Council,Williamsburg City Council,2025-11-04,1.3000000000,Lost General,22.0000000000,126.0000000000
25331178574,Kansas,LOCAL,Town Council,Pottawatomie County: Emmett Township Trustee,2024-11-05,4.9900000000,Won General,184.0000000000,184.0000000000
22676430433,Michigan,Local,Town Council,Merrill Village Council	,2024-11-04,null,Lost General,null,null
22489684246,Virginia,CITY,Town Council,Clinchco Town Council,2024-11-05,2.8000000000,Won General,67.0000000000,368.0000000000
36769782428,North Carolina,CITY,null,Oriental Town Council,2025-11-04,2.5300000000,Won General,null,null
31252550480,Illinois,Local,Other,Trustee,2025-04-01,2.8000000000,Won General,77.0000000000,234.0000000000
38813323778,Georgia,CITY,City Council,"Metter City Council - District 1, Seat 2",2025-11-04,1.8700000000,Lost General,null,null
23361392817,Oregon,CITY,Mayor,Medford City Mayor,2024-11-05,1.5200000000,Lost General,2686.0000000000,33280.0000000000
39092959399,Ohio,LOCAL,School Board,Cuyahoga Heights Local School District Board,2025-11-04,1.3300000000,Won General,null,null
42713874223,North Carolina,CITY,Mayor,Mount Olive Town Mayor,2025-11-04,null,Won General,null,null
