hubspot_id,state,office_level,office_type,candidate_office,election_date,viability_score,general_election_result,general_votes_received,total_general_votes_cast
37442086049,North Carolina,CITY,Town Council,Murfreesboro Town Council,2025-11-04,2.5300000000,Lost General,null,null
30308410035,Missouri,CITY,City Council,Ellisville City Council - District 1,2025-04-08,0.9800000000,Lost General,null,null
22343935101,South Carolina,CITY,Mayor,Sumter City Mayor,2024-11-05,1.5200000000,Lost General,3990.0000000000,15228.0000000000
30299454313,null,Local,School Board,School Director,2025-03-04,3.8000000000,Won General,null,null
36908279118,Washington,LOCAL,School Board,Meridian District 505 School Board - District 3,2025-11-04,1.1700000000,Won General,null,null
30201165087,Missouri,CITY,City Council,Wildwood City Council - Ward 2,2025-04-08,4.9900000000,Won General,null,null
38573713792,Ohio,CITY,Town Council,Newtown Village Council,2025-11-04,1.5600000000,Lost General,null,2285.0000000000
19791157003,Texas,LOCAL,School Board,Southwest Independent School Board,2024-05-04,1.6800000000,Lost General,276.0000000000,2331.0000000000
22290637902,Michigan,LOCAL,School Board,Clintondale Area School Board,2024-11-05,3.4200000000,Won General,3574.0000000000,7920.0000000000
35837176635,Kansas,CITY,City Council,Emmett City Council,2025-11-04,1.3000000000,Won General,null,null
32218307687,Massachusetts,CITY,Town Council,Brookline Town Meeting Member Precinct 8,2025-05-06,1.4500000000,Lost General,129.0000000000,3090.0000000000
22713782892,Texas,CITY,City Council,Balcones Heights City Council - Place 4,2025-05-03,3.4200000000,Lost General,98.0000000000,205.0000000000
35487669900,Iowa,LOCAL,School Board,East Mills Community School Board - District 1 (East),2025-11-04,3.8700000000,Won General,null,null
37463132583,North Carolina,CITY,Town Council,Bladenboro Town Council,2025-11-04,3.9600000000,Won General,null,null
39277271094,Massachusetts,LOCAL,School Board,Brockton School Committee - Ward 2,2025-11-04,null,Lost General,null,null
41531737164,Georgia,CITY,City Council,"Perry City Council - District 1, Post 1",2025-11-04,null,Won General,null,null
23340523322,Minnesota,LOCAL,Clerk/Treasurer,Kanabec County: Brunswick Township Clerk,2024-11-05,3.4400000000,Won General,413.0000000000,682.0000000000
22737415757,Virginia,COUNTY,City Council,Williamsburg City Council,2024-11-05,2.6000000000,Lost General,2057.0000000000,15287.0000000000
22888814434,Minnesota,CITY,Mayor,Ceylon City Mayor,2024-11-05,1.6000000000,Won General,83.0000000000,157.0000000000
30759025002,Illinois,LOCAL,School Board,Will County: Custer Township Highway Commission,2025-04-01,1.9100000000,Lost General,58.0000000000,182.0000000000
23830773390,Minnesota,CITY,Mayor,Freeport City Mayor,2024-11-05,3.4500000000,Won General,226.0000000000,408.0000000000
25109080394,Texas,Local,Utilities Commissioner,Library Board,2024-11-05,null,Won General,1669.0000000000,9006.0000000000
36955651499,Virginia,LOCAL,School Board,Orange County School Board - District 4,2025-11-04,2.5900000000,Lost General,1341.0000000000,3085.0000000000
38684416070,Ohio,LOCAL,School Board,Ottawa Hills Local School Board,2025-11-04,2.8800000000,Won General,null,null
33006753196,New Jersey,CITY,City Council,Avalon Borough Council,2025-05-13,3.8900000000,Not on Ballot,null,null
40870215466,New Mexico,CITY,City Council,Roswell City Council - Ward 3,2025-11-04,0.5400000000,Lost General,null,null
31649928738,Missouri,LOCAL,School Board,Knob Noster R-8 School Board,2025-04-08,2.8100000000,Won General,null,null
36382109292,Kansas,LOCAL,School Board,Lansing USD 469 School Board,2025-11-04,3.1100000000,Lost General,null,null
31756466519,Massachusetts,CITY,Town Council,Needham Town Select Board,2025-04-08,1.1100000000,Lost General,288.0000000000,6154.0000000000
