hubspot_id,state,office_level,office_type,candidate_office,election_date,viability_score,general_election_result,general_votes_received,total_general_votes_cast
23332824921,California,LOCAL,School Board,Laton Unified School Board,2024-11-05,5.0000000000,Won General,null,null
22188209766,Texas,STATE,null,Texas State Board of Education - District 7,2026-11-03,4.9800000000,Lost General,76.0000000000,1368.0000000000
22188209766,Texas,STATE,null,Texas State Board of Education - District 7,2026-11-03,4.9800000000,Lost General,76.0000000000,1368.0000000000
31853624643,Oregon,LOCAL,City Council,Country Club Water District Board - Position 2,2025-05-20,2.3300000000,Won General,null,null
20589840161,Wisconsin,STATE,State House,Wisconsin State Assembly - District 57,2024-11-05,0.2300000000,Lost General,3235.0000000000,35235.0000000000
37001885336,Washington,Local,Other,Cemetery Board,2025-08-05,1.0800000000,Won General,null,null
22188209766,Texas,STATE,null,Texas State Board of Education - District 7,2026-11-03,4.9800000000,Lost General,76.0000000000,1368.0000000000
23219809804,Minnesota,LOCAL,School Board,Grygla School Board,2024-11-05,2.5100000000,Lost General,325.0000000000,1489.0000000000
25115986260,Illinois,COUNTY,Other,Edwards County Coroner,2024-11-05,1.4500000000,Lost General,507.0000000000,3189.0000000000
38998527346,New Hampshire,CITY,City Council,Manchester City Council - At Large,2025-11-04,0.5400000000,Lost General,null,null
23849238144,Indiana,STATE,Statewide/Governor,Indiana Lieutenant Governor,2024-11-05,0.6000000000,Lost General,75380.0000000000,1624661.0000000000
22751595283,Michigan,LOCAL,School Board,Colon Community School Board,2024-11-05,2.6900000000,Won General,1529.0000000000,1529.0000000000
32802079522,Massachusetts,CITY,City Council,Sandwich Town Select Board,2025-05-08,1.6900000000,Won General,657.0000000000,1689.0000000000
40607001099,Massachusetts,CITY,City Council,Lowell City Council - At Large,2025-11-04,2.0200000000,Lost General,2987.0000000000,8494.0000000000
22188209766,Texas,STATE,null,Texas State Board of Education - District 7,2026-11-03,4.9800000000,Lost General,76.0000000000,1368.0000000000
22188209766,Texas,STATE,null,Texas State Board of Education - District 7,2026-11-03,4.9800000000,Lost General,76.0000000000,1368.0000000000
23072357752,Minnesota,CITY,City Council,Loretto City Council,2024-11-05,2.5700000000,Lost General,161.0000000000,609.0000000000
42391264006,Virginia,COUNTY,City Council,Fredericksburg City Council - District 2,2025-11-04,1.9100000000,Won General,1364.0000000000,2554.0000000000
36878136757,Alabama,CITY,City Council,Pelham City Council - At Large,2025-08-26,1.7200000000,Won General,null,null
29671442070,Illinois,LOCAL,School Board,Huntley Community Consolidated 158 School Board,2025-04-01,1.2600000000,Lost General,1282.0000000000,16815.0000000000
22287944853,Kentucky,LOCAL,School Board,Jefferson County School Board - District 2,2024-11-05,2.4900000000,Lost General,23.0000000000,21584.0000000000
22188209766,Texas,STATE,null,Texas State Board of Education - District 7,2026-11-03,4.9800000000,Lost General,76.0000000000,1368.0000000000
37012835877,North Carolina,CITY,Mayor,Granite Quarry Town Mayor,2025-11-04,2.9400000000,Won General,null,null
22188209766,Texas,STATE,null,Texas State Board of Education - District 7,2026-11-03,4.9800000000,Lost General,76.0000000000,1368.0000000000
