hubspot_id,state,office_level,office_type,candidate_office,election_date,viability_score,general_election_result,general_votes_received,total_general_votes_cast
23440559389,California,CITY,City Council,Jurupa Valley City Council - District 4,2024-11-05,3.6500000000,Lost General,1051.0000000000,2830.0000000000
29907579665,Illinois,CITY,City Council,McLeansboro City Council - Ward 3,2025-04-01,1.7400000000,Lost General,45.0000000000,135.0000000000
32847212833,Texas,CITY,City Council,Longview City Council - District 6,2025-05-03,4.9900000000,Won General,null,null
25132515218,Michigan,LOCAL,School Board,Summerfield School Board,2024-11-05,5.0000000000,Won General,1382.0000000000,2897.0000000000
22397346149,Michigan,LOCAL,School Board,Hazel Park School Board,2024-11-05,1.3700000000,Lost General,2267.0000000000,18373.0000000000
37005018437,Alabama,CITY,Mayor,Rainbow City Mayor,2025-08-26,3.0500000000,Won General,null,null
39266162601,New York,TOWNSHIP,null,Saratoga Town Council,2025-11-04,null,Not on Ballot,null,null
29481641634,Wisconsin,LOCAL,School Board,Platteville School Board,2025-04-01,3.1600000000,Won General,2088.0000000000,11958.0000000000
31961172093,Alabama,CITY,null,Dothan City Council - District 2,2025-08-05,1.9300000000,Lost General,null,null
18679153021,North Carolina,COUNTY,County Supervisor,Johnston County Commission - District 1,2024-11-05,1.1000000000,Not on Ballot,null,null
35241921434,Washington,LOCAL,Utilities Commissioner,Olympia Port District Board - Position 3,2025-11-04,1.0600000000,Lost General,5615.0000000000,13028.0000000000
32580474535,Oregon,LOCAL,School Board,Pendleton 16 School Board - Position 1,2025-05-20,2.4700000000,Lost General,581.0000000000,2198.0000000000
39363935267,South Carolina,CITY,Town Council,Holly Hill Town Council - District 3,2025-11-04,2.2100000000,Won General,null,null
40829241174,Minnesota,CITY,Other,Minneapolis City Park and Recreation Board - District 1,2025-11-04,2.8100000000,Won General,null,null
39119610486,Alaska,CITY,City Council,Bethel City Council,2025-10-07,2.2200000000,Lost General,null,null
41608045938,New Hampshire,CITY,null,Manchester City Select Board - Ward 10,2025-11-04,null,Won General,null,null
38974703738,Georgia,Local,Mayor,City Of Dasher - Mayor,2025-11-04,2.9900000000,Won General,null,null
39221228567,Alaska,CITY,City Council,Seward City Council,2025-10-07,2.2200000000,Won General,null,null
40718239302,Iowa,CITY,City Council,Story City Council,2025-11-04,4.0200000000,Won General,null,null
34258960179,Ohio,LOCAL,Town Council,Putnam County: Riley Township Trustee,2025-11-04,3.0600000000,Won General,null,null
23089558594,New Jersey,LOCAL,School Board,Old Bridge Township School Board,2024-11-05,4.1200000000,Won General,8952.0000000000,53212.0000000000
22982050956,Minnesota,CITY,City Council,Alpha City Council,2024-11-05,4.9900000000,Won General,38.0000000000,80.0000000000
22517103895,Virginia,CITY,Town Council,Herndon Town Council,2024-11-05,2.3500000000,Lost General,3857.0000000000,35840.0000000000
35941859598,Washington,CITY,Town Council,Wilkeson Town Council - Position 3,2025-11-04,1.8600000000,Lost General,32.0000000000,129.0000000000
40980190229,Texas,CITY,null,Splendora City Council - Position 1,2025-11-04,null,Not on Ballot,null,null
34680008776,New Jersey,CITY,Mayor,Jersey City Mayor,2025-11-04,0.7900000000,Lost General,955.0000000000,64386.0000000000
34091622230,North Carolina,CITY,Town Council,Calypso Town Council,2025-11-04,3.9600000000,Not on Ballot,null,null
39265616703,New Mexico,Local,School Board,Cloudcroft School Board Dist School Board Member At Large,2025-11-04,0.9200000000,Lost General,null,null
36784812859,Georgia,CITY,City Council,Acworth City Council - Post 4,2025-11-04,1.8700000000,Won General,null,null
39495462529,New Mexico,Local,School Board,RatÃ³n School Board School Board Member At Large,2025-11-04,2.2900000000,Won General,null,null
39344200569,New Mexico,Local,Other,San Juan Soil & Water Conservation Board Member Soil & Water Supervisor (Landowner),2025-11-04,2.4100000000,Lost General,null,null
37247777190,North Carolina,CITY,Town Council,Seagrove Town Council,2025-11-04,2.5300000000,Won General,51.0000000000,142.0000000000
42298852520,Iowa,CITY,City Council,Estherville City Council - At Large,2025-11-04,3.6700000000,Won General,null,null
37323704616,Georgia,CITY,Mayor,Woodstock City Mayor,2025-11-04,1.4300000000,Lost General,1955.0000000000,5870.0000000000
22101430366,Wyoming,County,School Board,Albany County School Board,2024-11-05,null,Lost General,4533.0000000000,53892.0000000000
35406492951,South Carolina,CITY,null,Greer City Council - District 4,2025-11-04,1.9800000000,Not on Ballot,null,null
31652388477,Ohio,LOCAL,Town Council,Butler County: Liberty Township Trustee,2025-11-04,4.9900000000,Not on Ballot,null,null
36021442394,Pennsylvania,null,President,Philadelphia Police Union President,2025-10-06,null,Lost General,null,null
28993682851,Illinois,CITY,City Council,St. Charles City Council - Ward 3,2025-04-01,1.1100000000,Lost General,383.0000000000,1405.0000000000
39104262756,Ohio,TOWNSHIP,Town Council,Paulding County: Benton Township Trustee,2025-11-04,3.0700000000,Won General,null,null
35889584898,Kansas,CITY,City Council,Brookville City Council,2025-11-04,1.3000000000,Won General,null,null
41224836668,Ohio,TOWNSHIP,Town Council,Sandusky County: Jackson Township Trustee,2025-11-04,null,Won General,null,null
21169118889,Indiana,LOCAL,School Board,Bartholomew County School Board - District 7,2024-11-05,5.0000000000,Not on Ballot,null,null
28700051026,Georgia,CITY,City Council,Alpharetta City Council - Post 3,2025-11-04,1.3800000000,Lost General,4131.0000000000,10030.0000000000
22326113977,Indiana,Local,School Board," Indiana East Chicago School Board, At Large ",2024-11-05,null,Won General,150.0000000000,399.0000000000
