viability_bucket_model,n_rows,win_rate,avg_proba,win_pct,avg_proba_pct
No Chance,660,0.1590909090909091,0.10767044869774373,15.909090909090908,10.767044869774372
Unlikely to Win,1339,0.30022404779686335,0.30081065386978056,30.022404779686333,30.081065386978057
Has a Chance,996,0.46285140562248994,0.49297776251904385,46.285140562249,49.29777625190439
Likely to Win,1030,0.7,0.7026732226198041,70.0,70.26732226198041
Frontrunner,975,0.8666666666666667,0.8702743460909665,86.66666666666667,87.02743460909666
