viability_bucket_orig,n_rows,win_rate,win_pct
No Chance,572,0.24125874125874125,24.125874125874127
Unlikely to Win,1338,0.3602391629297459,36.02391629297459
Has a Chance,1090,0.5165137614678899,51.651376146788984
Likely to Win,709,0.692524682651622,69.25246826516221
Frontrunner,343,0.8658892128279884,86.58892128279884
,948,0.5938818565400844,59.38818565400844
