viability_bucket_orig,n_rows,win_rate,avg_proba,win_pct,avg_proba_pct
No Chance,572,0.24125874125874125,0.24631977917215528,24.125874125874127,24.63197791721553
Unlikely to Win,1338,0.3602391629297459,0.3772997102924321,36.02391629297459,37.72997102924321
Has a Chance,1090,0.5165137614678899,0.5449920527889852,51.651376146788984,54.49920527889852
Likely to Win,709,0.692524682651622,0.7457813469398031,69.25246826516221,74.57813469398032
Frontrunner,343,0.8658892128279884,0.758107598725131,86.58892128279884,75.8107598725131
,948,0.5938818565400844,0.5364679060521353,59.38818565400844,53.64679060521353
