viability_bucket_model,n_rows,win_rate,win_pct
No Chance,659,0.16236722306525037,16.236722306525035
Unlikely to Win,1336,0.2971556886227545,29.71556886227545
Has a Chance,1001,0.46553446553446554,46.553446553446555
Likely to Win,1023,0.6989247311827957,69.89247311827957
Frontrunner,981,0.8654434250764526,86.54434250764525
