hubspot_id,election_date,state,office_level,office_type,n_outreach_rows,viability_score_mean,viability_score_max,latest_outreach,Win,proba_win,pred_win,viability_score_model,viability_bucket_model,viability_bucket_num,viability_bucket_orig,viability_bucket_orig_num,bucket_distance
31131318908,2025-04-01,Illinois,LOCAL,Other,1,2.42,2.42,,0,0.7582034950735033,1,3.791017475367516,Likely to Win,4,Has a Chance,3,1
23797368655,2024-11-05,Minnesota,CITY,City Council,1,4.99,4.99,,1,0.6262201114536009,1,3.1311005572680046,Likely to Win,4,Frontrunner,5,1
35881959084,2025-11-04,Kansas,CITY,City Council,1,1.3,1.3,,1,0.5532669041353802,1,2.7663345206769008,Has a Chance,3,Unlikely to Win,2,1
37395713316,2025-11-04,North Carolina,CITY,Mayor,1,2.94,2.94,,1,0.3456988753363985,0,1.7284943766819925,Unlikely to Win,2,Has a Chance,3,1
23794155264,2024-11-05,Oregon,COUNTY,Sheriff,1,1.32,1.32,,0,0.41537258500918467,0,2.076862925045923,Has a Chance,3,Unlikely to Win,2,1
22428877406,2024-11-05,Minnesota,CITY,City Council,1,1.93,1.93,,0,0.6004320075231412,1,3.002160037615706,Likely to Win,4,Unlikely to Win,2,2
41663116690,2025-11-04,Colorado,CITY,City Council,1,2.7,2.7,,1,0.38438121609803155,0,1.9219060804901578,Unlikely to Win,2,Has a Chance,3,1
38126965681,2025-11-04,Massachusetts,CITY,City Council,1,2.02,2.02,,0,0.5495184261860856,1,2.747592130930428,Has a Chance,3,Has a Chance,3,0
31249354840,2025-04-01,Illinois,CITY,Mayor,1,3.6,3.6,,0,0.4586532951128363,0,2.2932664755641814,Has a Chance,3,Likely to Win,4,1
31846630681,2025-06-03,Mississippi,CITY,,1,1.38,1.38,,0,0.0943869581490697,0,0.4719347907453485,No Chance,1,Unlikely to Win,2,1
39417305210,2025-11-04,South Carolina,CITY,Town Council,1,2.21,2.21,,0,0.6051958648007021,1,3.0259793240035107,Likely to Win,4,Has a Chance,3,1
23468614565,2024-11-05,Minnesota,LOCAL,School Board,1,3.36,3.36,,0,0.6880426995058323,1,3.4402134975291614,Likely to Win,4,Likely to Win,4,0
39778346072,2025-11-04,Idaho,LOCAL,Other,1,1.15,1.15,,1,0.7306738008377985,1,3.653369004188993,Likely to Win,4,Unlikely to Win,2,2
35039711570,2025-11-04,Michigan,CITY,Clerk/Treasurer,1,2.12,2.12,,1,0.5221246306159563,1,2.610623153079781,Has a Chance,3,Has a Chance,3,0
38894109093,2025-11-04,Minnesota,CITY,City Council,1,1.93,1.93,,0,0.637550443131909,1,3.187752215659545,Likely to Win,4,Unlikely to Win,2,2
32407964704,2025-05-03,Texas,LOCAL,School Board,1,2.53,2.53,,0,0.46619033875905685,0,2.330951693795284,Has a Chance,3,Has a Chance,3,0
30082959260,2025-03-11,,LOCAL,School Board,1,,,,1,0.5064339000334418,1,2.532169500167209,Has a Chance,3,,0,3
23434672307,2024-11-05,California,CITY,City Council,1,0.94,0.94,,0,0.4172760339508237,0,2.0863801697541184,Has a Chance,3,No Chance,1,2
35673454769,2025-11-04,Washington,LOCAL,Other,1,2.79,2.79,,1,0.7577288424522217,1,3.788644212261109,Likely to Win,4,Has a Chance,3,1
23953681775,2024-11-05,Tennessee,CITY,City Council,1,4.99,4.99,,1,0.46593604524839155,0,2.329680226241958,Has a Chance,3,Frontrunner,5,2
