,mean_coef,std_coef,mean_abs_coef,sign_consistency
office_level_STATE,-1.4659434214147122,0.1606562985847847,1.4659434214147122,1.0
office_level_local,1.1393085844808564,0.19507740971668222,1.1393085844808564,1.0
office_level_Unknown,-1.1202596771816995,0.24029543314993884,1.1202596771816995,1.0
state_Kentucky,1.1120682049046453,0.10998189623687539,1.1120682049046453,1.0
office_level_FEDERAL,-1.089485217770061,0.09089707675859467,1.089485217770061,1.0
state_Delaware,-1.0726976273198554,0.19040269412991756,1.0726976273198554,1.0
office_type_Congressional,-1.0426290427457956,0.06515258733469412,1.0426290427457956,1.0
office_type_Clerk/Treasurer,1.028960703686275,0.14146092918440167,1.028960703686275,1.0
office_type_State House,-0.9796522421187674,0.12012290684909814,0.9796522421187674,1.0
state_Connecticut,-0.9108048877905958,0.22405261120450268,0.9108048877905958,1.0
state_Mississippi,-0.9107226625995153,0.057076404928413205,0.9107226625995153,1.0
office_type_Unknown,-0.8598338910569072,0.11469692973489082,0.8598338910569072,1.0
office_type_Other,0.8530253607663699,0.01624172773975705,0.8530253607663699,1.0
state_Iowa,0.8337480005850353,0.08221204339895007,0.8337480005850353,1.0
office_level_REGIONAL,0.7937349785820716,0.27083637041587283,0.7937349785820716,1.0
office_type_Utilities Commissioner,0.7612487366086342,0.10476688834361421,0.7612487366086342,1.0
state_New Hampshire,0.6925066462197039,0.20435534623632343,0.6925066462197039,1.0
state_District Of Columbia,0.6700579148729527,0.33286767058114763,0.6700579148729527,1.0
office_type_State Senate,-0.6695247849324233,0.052535792508309496,0.6695247849324233,1.0
office_level_County,0.6663511526622113,0.18869841522552327,0.6663511526622113,1.0
office_type_Town Council,0.6529072920562418,0.10231719402176992,0.6529072920562418,1.0
office_type_Statewide/Governor,-0.646603059825913,0.10228520790527729,0.646603059825913,1.0
state_Nevada,-0.6448820814099535,0.19488087706151294,0.6448820814099535,1.0
office_level_LOCAL,0.6444999198638113,0.10240146800071186,0.6444999198638113,1.0
office_level_State,-0.6135221261627442,0.10619235756854623,0.6135221261627442,1.0
state_Missouri,0.5997075736229032,0.10586365214889638,0.5997075736229032,1.0
state_Texas,-0.5487053462657494,0.06877454492696845,0.5487053462657494,1.0
state_Minnesota,0.5453741492318757,0.08746793884939277,0.5453741492318757,1.0
state_CA,0.527585753973104,0.2981992709109048,0.527585753973104,1.0
state_Wisconsin,0.5151825428528063,0.07992311022306865,0.5151825428528063,1.0
state_Kansas,0.5088320303072847,0.07792445954123257,0.5088320303072847,1.0
state_North Dakota,0.4971797882941761,0.21246869694493484,0.4971797882941761,1.0
is_presidential,0.49681744067602995,0.042016711798564296,0.49681744067602995,1.0
state_Vermont,0.4896534572234038,0.303777453686688,0.4896534572234038,1.0
hubspot_id,0.4884268523804128,0.045007471453180355,0.4884268523804128,1.0
office_level_Local,0.48602227767574496,0.1375579105294397,0.48602227767574496,1.0
state_Arkansas,0.48463641727324747,0.30875084630951644,0.48463641727324747,1.0
state_Alaska,-0.483514548691395,0.09273462673420499,0.483514548691395,1.0
election_doy,-0.4708292425247266,0.127157076457498,0.4708292425247266,1.0
